artist,album,play_count
Tech N9ne,Sickology 101,30
The Used,Vulnerable,30
Oceana,CleanHead Ep,29
Exam Krackers,MCAT Audio Osmosis Disc 3,29
Italobrothers,Stamp,29
Ace Hood,Starvation,29
Enter Shikari,A Flash Flood Of Colour (Deluxe Version),28
J. Cole,Born Sinner (Deluxe edition),28
Family Force 5,Business Up Front / Party In The Back,28
Lloyd Banks,Cashing In: Mo money in the bank 3,28
J. Cole,Cole World: Sideline Story,28
Tech N9ne,Everready (The Religion),28
Snow Patrol,Fallen Empires,28
Hustle Gang,G.D.O.D. (Get Dough Or Die),28
Breathe Carolina,Hello Fascination,28
Set It Off,Horrible Kids,28
Young De X Scoop Deville,Neva LOOK Back!,28
Ace Hood,Starvation 3,28
FKi,Transformers N The Hood 2,28
Kanye West,Yeezus,28
Somewhere in Time,A Shot In The Dark,27
Tech N9ne,Absolute Power,27
Plain White T's,All That We Needed,27
Family Force 5,Business Up Front/Party In The Back,27
The Devil Wears Prada,Dead Throne,27
Four Year Strong,Enemy of the World,27
Chief Keef,Finally Rich,27
Conditions,Fluorescent Youth,27
The Downtown Fiction,I Just Wanna Run - Single,27
Pusha T,My Name Is My Name,27
Lloyd Banks,Rotten Apple,27
Tito Lopez,The Hunger Game,27
HS87,We The Plug,27
Dr. Dre,Compton (2015) [FLAC],26
Exam Krackers,MCAT Audio Osmosis Disc 1,26
Trash Boat,Nothing I Write You Can Change What You've Been Through,26
Pusha T,Pusha-T - Wrath Of Caine,26
Maffew Ragazino,Rare Gems: The Collection,26
Kendrick Lamar,Section.80,26
Hollywood Undead,Swan Songs,26
Lloyd Banks,The Hunger For More,26
Eminem,The Marshall Mathers LP 2,26
Rise Against,The Unraveling,26
Slim The Mobster,War Music Powered By Crooks & Castles,26
Tech N9ne,Welcome to Strangeland (Best Buy Deluxe Edition),26
Lloyd Banks,4-30-09: Happy Birthday,25
