artist,track,play_count
Cory Gunz,Do Something (Prod. by Dot N Pro) (DatPiff Exclusive),18
Future,All Right,18
Go Periscope,Take It Personal,18
Gunplay,Gunplay-Gullitine Swords Freestyle,18
Kanye West,New Slaves,18
Lil' Wayne,Cashed Out,18
Members Only,06 xxxtentacion - King Of The Dead,18
Silverstein,California,18
Silverstein,I Am the Arsonist,18
Silverstein,Intervention,18
Silverstein,With Second Chances,18
Simple Plan,Running Out Of time [Bonus Track],18
Somewhere in Time,The Life of Birds,18
Styles of Beyond,Hey You,18
Sum 41,No Reason,18
The Offspring,Dividing by Zero,18
50 Cent,Psycho (Featuring Eminem) (Produced By Dr. Dre),17
Anberlin,True Faith,17
Balance and Composure,Fade,17
Bayside,Already Gone,17
Benefit,Something Wicked This Way Comes,17
Blindside,My Heart Escapes,17
blink-182,Everytime I Look for You,17
blink-182,Going Away to College,17
blink-182,Wishing Well,17
Box Car Racer,The End With You,17
Ca$his,Give And Go,17
Destroy Rebuild Until God Shows,"I'm The Rehab, You're The Drugs",17
Dj Absurd,"Flying Colors (feat. Jaz-O, Copywrite & Mela Machinko)",17
Go Periscope,Rollin' With the Dead,17
Hustle Gang,"Different Life (Feat. B.o.B, T.I. & Young Dro) [Prod. By Osinachi]",17
Kanye West,"I Don't Like (Remix) ft. Chief Keef, Pusha T, Jadakiss & Big Sean",17
Kyo Itachi & Ruste Juxx,Three The Squad Way ft. Vinnie Paz & Rock,17
Lil' Wayne,Post Bail Ballin,17
Lloyd Banks,50 Cent - Gangster Interlude,17
Maffew Ragazino,Zen Master,17
Punk Goes Pop 5,We Came As Romans - Glad You Came,17
"Royce da 5'9""",Random Bars,17
Slim The Mobster,Gun Play,17
Stromae,House'llelujah (Klaas Remix),17
Sum 41,Black Eyes,17
Sum 41,My Direction,17
Vast,Touched ( LP Version ),17
We Came As Romans,Tell Me Now,17
Xzibit,I Came to Kill,17
You Me at Six,Playing the Blame Game,17
50 Cent,In Da Club,16
araabMUZIK,"Black Mask, Black Gloves",16
araabMUZIK,gotit4cheap(prod.by y.h.),16
araabMUZIK,La Bamba,16
